ticker,sector,industry,market_cap
VLO,Energy,Oil & Gas Refining & Marketing,113881063424
VLTO,Industrials,Pollution & Treatment Controls,23426101248
VMC,Basic Materials,Building Materials,32351275008
VMI,Industrials,Conglomerates,9127529472
VMRK,Real Estate,REIT - Residential,50732830720
VNO,Real Estate,REIT - Office,6879226368
VOD,Communication Services,Telecom Services,40835960832
VOO,,,
VOYA,Financial Services,Financial Conglomerates,9240827904
VRM,Financial Services,Credit Services,52834020
VRSK,Industrials,Consulting Services,23788926976
VRSN,Technology,Software - Infrastructure,26949142528
VRT,Industrials,Electrical Equipment & Parts,91161346048
VRTX,Healthcare,Biotechnology,130655305728
VSAT,Technology,Communication Equipment,9593314304
VSEC,Industrials,Aerospace & Defense,5005387776
VSH,Technology,Semiconductors,4802301440
VST,Utilities,Utilities - Independent Power Producers,47388336128
VSTS,Industrials,Rental & Leasing Services,1749799808
VSXY,Consumer Cyclical,Apparel Retail,5904931840
VTEX,Technology,Software - Application,610075584
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,19014922240
VVV,Consumer Cyclical,Auto & Truck Dealerships,3636053760
VYX,Technology,Information Technology Services,1076945280
VZ,Communication Services,Telecom Services,214407184384
W,Consumer Cyclical,Internet Retail,14317272064
WAB,Industrials,Railroads,46847426560
WAT,Healthcare,Diagnostics & Research,41013211136
WAY,Healthcare,Health Information Services,5154197504
WBD,Communication Services,Entertainment,69999255552
WBI,Energy,Oil & Gas Equipment & Services,3881463296
WCC,Industrials,Industrial Distribution,16242173952
WCN,Industrials,Waste Management,40522776576
WDAY,Technology,Software - Application,46632292352
WDC,Technology,Computer Hardware,148268843008
WEC,Utilities,Utilities - Regulated Electric,33790578688
WELL,Real Estate,REIT - Healthcare Facilities,167597850624
WEN,Consumer Cyclical,Restaurants,1451951488
WEX,Technology,Software - Infrastructure,6932370432
WFC,Financial Services,Banks - Diversified,269287145472
WFRD,Energy,Oil & Gas Equipment & Services,6111781888
WGO,Consumer Cyclical,Recreational Vehicles,777959936
WGS,Healthcare,Diagnostics & Research,2863387392
WH,Consumer Cyclical,Lodging,5069361664
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2159403264
WING,Consumer Cyclical,Restaurants,2779284480
WIX,Technology,Software - Infrastructure,3495375872
WLK,Basic Materials,Specialty Chemicals,8881859584
WLTH,Technology,Software - Application,1638640512
WM,Industrials,Waste Management,87791443968
WMB,Energy,Oil & Gas Midstream,87248535552
WMG,Communication Services,Entertainment,15115256832
WMS,Industrials,Building Products & Equipment,9611164672
WMT,Consumer Defensive,Discount Stores,864804405248
WOLF,Technology,Semiconductors,1236935936
WPM,Basic Materials,Gold,67701628928
WRB,Financial Services,Insurance - Property & Casualty,26238361600
WRBY,Healthcare,Medical Instruments & Supplies,3001203712
WSC,Industrials,Rental & Leasing Services,3313076736
WSM,Consumer Cyclical,Specialty Retail,26508560384
WSO,Industrials,Industrial Distribution,12572430336
WST,Healthcare,Medical Instruments & Supplies,25850601472
WTW,Financial Services,Insurance Brokers,29886187520
WULF,Financial Services,Capital Markets,7287437312
WWD,Industrials,Aerospace & Defense,18764761088
WY,Real Estate,REIT - Specialty,15802136576
WYNN,Consumer Cyclical,Resorts & Casinos,9021027328
XEL,Utilities,Utilities - Regulated Electric,45398421504
XLE,,,
XLF,,,
XMTR,Industrials,Industrial Distribution,4916642816
XOM,Energy,Oil & Gas Integrated,695817732096
XOP,,,
XP,Financial Services,Capital Markets,9920509952
XPEV,Consumer Cyclical,Auto Manufacturers,9811034112
XPO,Industrials,Trucking,20817387520
XRAY,Healthcare,Medical Instruments & Supplies,1986561408
XRX,Industrials,Business Equipment & Supplies,462227072
XYZ,Technology,Software - Infrastructure,47522885632
YELP,Communication Services,Internet Content & Information,1157443072
YMM,Technology,Software - Application,8450825216
YPF,Energy,Oil & Gas Integrated,22612928512
YUM,Consumer Cyclical,Restaurants,38690549760
YUMC,Consumer Cyclical,Restaurants,14252444672
Z,Communication Services,Internet Content & Information,7264517632
ZBH,Healthcare,Medical Devices,18712322048
ZBRA,Technology,Communication Equipment,16210052096
ZION,Financial Services,Banks - Regional,9923368960
ZM,Technology,Software - Application,27389767680
ZS,Technology,Software - Infrastructure,31750012928
ZTO,Industrials,Integrated Freight & Logistics,15536927744
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,30301687808
