ticker,market,momentum,reversal,low_vol,size,value,profitability,cash_flow,earnings_yield,ind:Basic Materials,ind:Communication Services,ind:Consumer Cyclical,ind:Consumer Defensive,ind:Energy,ind:Financial Services,ind:Healthcare,ind:Industrials,ind:Real Estate,ind:Technology,ind:Unknown,ind:Utilities
AEE,1.0,-0.17718978949908706,0.5389900057657834,0.956458497092694,0.24723463849581925,0.6955687044641907,0.0,-0.31213497820221164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AEIS,1.0,0.47890856170941654,0.6357070630955597,-0.7161297456070324,0.9227135057395978,-0.6285636315777994,0.0,-0.2863373115616259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AEP,1.0,-0.13771435707624272,0.5597011386026827,0.7577199658950104,-0.32162270171754065,0.7395355779726333,0.0,-0.3763870521901845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AHR,1.0,-0.01640230657678274,0.3021797326836436,0.6668953747970243,0.8658192810946531,0.06560567624547378,-0.3026842936101108,-0.4488340185882344,-0.18418210496482215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AIG,1.0,-0.2914258161502161,0.4968867649912224,0.742143181657132,0.03359042423930041,2.8716144575687834,-0.2469497844607956,-0.7582976680333494,0.6219114265765298,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIR,1.0,0.4093484062649342,0.9416596886979421,-0.07313509673898372,1.4538939805154838,0.1579882879923951,0.0606883640156978,-0.6680931008140962,0.1595655119681065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKAM,1.0,0.08778544263932095,0.760041489186158,-0.6649022009193626,0.6853377361379637,0.05462694001662895,-0.15506379131903836,0.03625189741715498,0.07601888397519364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALAB,1.0,0.2932487910557028,0.6576482993058338,-3.0,-0.1433205440219613,-1.015166063117418,0.5390634777781242,0.6735671722481698,-0.2015610258538107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALKS,1.0,0.2793249429103607,0.6121607980197302,-0.1523386635805344,1.1594754838784544,-0.24086465146210972,0.0530226002389129,0.21178373000950404,0.0951064683668521,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALSN,1.0,-0.02021509730437688,-0.6788728625401278,0.36196537732691453,0.9684680857631413,-0.3941235207691769,0.18991145332121004,-0.011660128727386485,0.4249913118247725,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMAT,1.0,1.4839304401405033,1.1189887392091886,-1.3608601163765088,-1.499742407932933,-0.8691396331691583,0.9327617967907716,0.8466756408765952,-0.033196834001319855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AMD,1.0,1.2852976705958319,0.3424244632393884,-2.4107227387125394,-2.0187179061592335,-0.8018082009302117,0.02236849194105206,-0.057416394013018436,-0.1859641648715753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AME,1.0,-0.025595282950705626,0.4859377994449722,0.7869785455240611,-0.17483734777318355,-0.32211251284916287,0.33731310601428255,0.11341920263090367,0.05912163012341392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AMT,1.0,-0.377721597332505,0.11411803740607779,0.7614335032513272,-0.464719856688719,-0.9679788129694701,0.0,-0.10629001001173201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AMZN,1.0,-0.13154004890168505,0.636563028795542,0.11728413233687676,-2.916536172314017,-0.36950044305383256,0.6223439137731397,0.4957936813194328,0.2931509996999465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANET,1.0,-0.02187527155118437,-0.5419518727276788,-0.28419127951816175,-1.2305272006618857,-0.9105894559228185,0.826664702034764,0.8611085346508198,-0.0894896657622453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AON,1.0,-0.29496983510221847,1.2117088678909842,0.9295524040765837,-0.3379701362361357,-0.5913747242377099,0.171564959817646,-0.31426531487101095,0.35940097461597004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
APD,1.0,-0.25889071499614896,-0.21511627440678174,0.7067907962247346,-0.3451542198747877,-0.3513155221978898,-0.4855810985107962,0.0,-0.3136769600397114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APG,1.0,-0.19159426981070257,0.3372237468420956,0.6004994880453663,0.6277029093070863,-0.3283436435294089,-0.15196759026283782,-0.20515493102095456,-0.04929697221165265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
APH,1.0,0.11274926588439937,0.360531528074142,0.269265819956467,-0.5877197411616317,-0.5211763419041239,0.3881398280993258,0.22575190468396877,0.24154707723230187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
APLD,1.0,0.2979987307443518,0.900635037776802,-2.558659085416701,1.2027884235872441,-0.23107241356066735,0.0,-0.8692723507572908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
APO,1.0,-0.3371090127769475,-0.6065307524110578,0.23747556608614911,-0.4543623948970882,-0.11827264012562413,-0.3456814480991074,-0.8136504659058494,0.23712556228978932,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,1.0,-0.4233202946502852,2.17943621200802,-1.637621224654638,-0.6349658034430025,-1.028067699012032,2.9483760637839826,3.0,0.10866234435811038,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARW,1.0,0.2982444906403104,0.751804124111348,-0.027121961726517447,0.9667514288948122,1.5127814350461755,-0.2806663838036829,-0.9419645837993672,0.3674660744138256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATI,1.0,0.8700749172405844,-0.5819111217703633,0.002668828979142974,0.2846946433111564,-0.880804450229122,0.18142447413164042,0.09828425658990904,-0.08597448072348163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AVGO,1.0,-0.023650489784220616,0.6839415420536918,-0.1869113578398065,-2.5945867518999437,0.0,0.0,0.558925920532102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AWI,1.0,-0.36622205372166633,0.33026091139948965,1.0289869573979262,1.2134119761520075,-0.6683866198052036,0.8748354034866785,0.7903813488539287,0.22621855586362877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AXON,1.0,-0.5217332435926834,-0.4361633927154475,-0.35689101255742245,-0.0650406327786475,-0.8320214600676655,-0.26588879181112574,-0.6795583839789082,-0.2189196447003776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AXP,1.0,-0.26174856243924993,0.40364810968729,0.8502921351681412,-1.160024591000437,-0.5399313986400872,-0.11214830030271423,-0.3681697018812408,0.2965760386468327,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AZO,1.0,-0.511830633020592,0.31389105752000174,0.20904261776005378,-0.10612720046332465,0.0,0.5888506466052426,0.512874137598388,0.3254904727559895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,1.0,-0.3470419937585224,0.5924855559315668,0.4347318745470333,-0.9478051252340038,-1.0007417082763919,-0.29240385184679407,-0.8950549228626109,-0.09642990613680966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BAC,1.0,-0.08144486770272398,0.23935060473916453,0.8802618766140728,-1.6208416946870994,1.5997621257444936,-0.3319531595056803,-0.9228562086980766,0.5421213449436233,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BAX,1.0,-0.23302609016348852,0.2904297916266903,0.05976960908198232,0.7891352039328081,0.6770895732773049,-0.8066094107440572,-0.5369392514044238,-1.0493318737945445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BBIO,1.0,0.16241834938664076,0.6385303502504892,0.2623862782088063,0.7143020172371537,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BC,1.0,-0.06829346813612822,0.5498886240174646,0.7725833422188857,1.4869019344945935,0.20141376595646077,-0.6118769286542949,0.049536224837337384,-0.5630406635834591,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDX,1.0,-0.1864392202844872,-1.0071122476950365,0.6408994933999934,-0.13949907518470708,0.7356755738928459,-0.1293841101703067,0.0,0.11862551886924935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BE,1.0,2.0659958803369913,0.21604182026603533,-3.0,-0.2336155057164786,-1.0854798102286631,0.0,-0.7172868524424749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BG,1.0,-0.050485639141872735,-0.686698963327935,0.15411762942181167,0.43019306514642225,1.664861707652164,-0.2618233503182104,-0.783309061341369,0.15730820730254783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIIB,1.0,0.15233862475964402,-0.3810260550571017,0.7013705621618712,0.1875133591295621,0.0,-0.039767248019375034,-0.22025307157597732,0.20483847339094918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BILL,1.0,-0.30538661816175977,-0.5950526553890325,-0.0091301120557021,1.5967439674929989,2.1760812059037975,-0.4136124559012983,-0.5566904073222609,-0.2794387331297089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BKD,1.0,0.44610769966042274,2.0024443882975844,-0.6371959572928185,1.8739598636261992,0.0,-0.7746330670033602,-0.5937365014228256,-1.2976746554420164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BKNG,1.0,-0.3896708991892995,-0.05633166978516371,0.6877728148353844,1.314412021138935,0.0,0.0,2.1709545287325986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKR,1.0,0.0004859736302639709,-0.2613567194573392,0.11190919095292623,-0.28383366077467176,0.09963945924806113,0.004564402719158719,-0.24364120570291295,0.21161450496954276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLCO,1.0,-0.1560190271407165,-0.07117177772826595,0.8156632497761733,1.3213356194698633,2.8885521731972053,-0.6204914988171291,-0.7568527198331805,-0.8972692938947846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BLDR,1.0,-0.7064914015257622,0.24339001221394904,0.03390117944192302,1.2277663585427032,1.0679963283673726,-0.08484282287440284,0.10157043809872392,0.4351098107070171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BMRN,1.0,-0.2583540166458557,-0.5579746299221735,0.7802698083736616,0.8325464140216698,0.8310823189708011,-0.156957006147303,-0.26120092337784034,0.06112937577590686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BMY,1.0,0.08382963143071799,0.027299439062593148,0.7473258014153792,-0.8193530597998441,-0.5012173998463543,0.26496210182688196,0.636255744630981,0.331430688580285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BNY,1.0,0.12998761545889542,-0.052431150323638646,1.080436812968156,-0.666082904975503,0.46551096876403875,-0.31656543783551716,-0.8318942033500961,0.32043045906740236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,1.0,-0.5962255733507542,-1.4552346744067635,0.3504189517047559,0.4863144881873013,-0.6077143096927041,0.6408024246857821,0.5265754453406312,0.35814547632430566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRKR,1.0,0.41550940335446457,0.9425592306885676,-1.0883391346029234,1.0830266521965597,-0.04448675612221301,-0.41627958457863434,-0.739727309627251,-0.2603317095262998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BRO,1.0,-0.5011981578732543,-0.01439579249815597,0.5100397163191196,0.3825574092920932,0.0,-0.11117312960118743,-0.47948452040291495,0.24107218060514013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BSX,1.0,-0.7358959492820266,-0.07015783567511967,0.40786117324106913,-0.35600083698669255,0.2600024402889811,0.0,0.03147789342401164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BTSG,1.0,0.9539686482079844,0.4390154438363117,0.10017497342156069,0.8940897822701931,-0.44685062224025485,-0.13955457148825365,-0.15001564139757234,-0.06394757303019709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BWA,1.0,0.13250079967691072,0.17745797922178297,0.26282862986047467,0.808753135839509,0.5524775194225896,-0.23913660630878966,0.0,-0.011162160955945131,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX,1.0,-0.4717063109808241,-0.9786669367356478,0.3287857823515191,-0.6538655508166195,-0.8161949316513651,0.0988059526474673,-0.03574671992920274,0.06617294984412017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.037268831923972276,0.24900200641568887,0.7778348803727968,-1.1823164271494873,2.496340136011255,-0.359688730836922,-1.2097090469435317,0.4488076270384469,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAH,1.0,0.1745006369714139,0.05492781087578366,0.308289505751329,-0.18317366495324458,0.0,-0.1556904688535449,-0.06700609863546336,0.10359432870934397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CARR,1.0,-0.31321431191944904,0.7703732516929339,0.10324928403840657,-0.09931990477445134,0.0,-0.07257366686846385,-0.29129125672046646,0.09547975744138018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CART,1.0,-0.2597140187894171,-0.9790817511991535,0.05885005942318443,0.8857255888642938,-0.3628982065511679,0.6546436471918115,1.7725625789854882,0.18010567278506534,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAT,1.0,0.49968432084889336,0.4329803041972443,-0.2780938328279905,-1.5050631506768377,-0.9384530038928046,0.0,0.17098002777194393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CB,1.0,-0.05289270588286394,0.5536919248739599,0.922022811448957,-0.7926877634452161,1.0729412204316118,-0.09318728039157272,-0.49912597964791,0.6327605817499087,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CBRE,1.0,-0.35959684267482284,0.30031993048845657,0.5887058353879462,-0.005191939614994088,-0.36148896610186765,-0.08868237611584678,-0.45334983881564156,0.05854947275548647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CCC,1.0,-0.5958179057698947,-1.8246093251371567,-0.204429938374003,1.5651210054418263,0.4467645202603123,-0.4004888161293913,-0.07664349203734473,-0.24503554182695228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCL,1.0,-0.37920495547984073,1.488944969610918,0.28540195977982136,0.1717395388424264,0.4187458932285196,0.03502264878846565,0.2168828244382993,0.6984356669094364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDW,1.0,-0.3551434921116908,-0.04088744177622482,0.6345289158540081,0.5507964000935219,-0.6382385887472325,0.10961702497936898,-0.26890096484041565,0.3830838791495816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CEG,1.0,-0.3994303518477072,-0.19628704427925334,-0.03038190692234988,-0.584932874994732,0.15057078744029762,-0.20817517799105134,-0.5327219819464517,0.018304891616626826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CG,1.0,-0.5043839068440789,-0.30324714438132305,0.5557956208282583,0.616314427666171,0.5056240824057534,-0.16593206171656208,-2.1052900566715267,0.27763922024713805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD,1.0,-0.22493461875083,0.11963732823363311,0.7320810242370519,0.3965087836675882,-0.42155450225671814,0.26847562164871286,0.3592576467590058,0.10044134623265077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI,1.0,-0.32505947659174445,0.33545059977501707,0.6203649957379044,-0.3846841965642939,1.1613465528215643,-0.08907874818398988,-0.3550478615453466,0.668178995727295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CIEN,1.0,2.1675421997524986,0.09805466769327391,-1.3579348177653823,-0.17831801371971145,-0.936596542873417,-0.2346238348125348,0.35920284377477757,-0.22377615853721672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CLF,1.0,-0.2245204006546684,0.2139947338384261,-0.9469813386291127,1.2838514515094737,2.2133430021465745,-1.0155375813537038,-1.1851827468941762,-2.769545462017843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLS,1.0,0.2881213626591251,1.124156623955215,-1.0633679772619562,0.13649412145595377,-0.8628815874566874,0.3029079488798373,-0.293246135358464,0.022372909093164056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CLX,1.0,-0.4160931496148623,-0.07798712604087654,0.39178354990174113,0.878863667606423,0.0,0.6422033651298082,0.5463048895931418,0.5212032518806357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,1.0,0.21257148249243013,1.2165565559323301,0.1659386088076849,-0.4284278053885584,-0.4940837061755977,0.0,0.04484080999184841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CMPX,1.0,-0.65102625637634,-2.0661931758089622,-2.397919912329247,3.0,0.3771349869230138,-3.0,-3.0,-1.9851328785517437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CMS,1.0,-0.2592028144451314,0.6684226756826747,0.9372182042889062,0.4683035460639587,0.6623804455508996,-0.18671628836195858,-0.4190403379819016,0.3145199820981235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CNC,1.0,0.6465763955063836,-0.07451561133846384,-1.171323108421082,0.19190879063978317,1.6578769733981455,-1.0730918590659597,-0.35335578067923035,-2.6087988100954758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COF,1.0,-0.3390148124180761,-0.03661621686674505,0.7110292802110386,-0.794108814370275,2.2697951534740533,-0.37418852485965226,-0.5523543174547431,-0.039905426619078845,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COGT,1.0,1.525145237552081,1.1634088827497167,-3.0,1.3404800702959225,-0.8011045054977941,-3.0,-3.0,-0.8579217565037207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COHR,1.0,1.267414103688971,-0.28315907811659513,-0.7228587230939816,-0.18115050764575183,-0.35553834215902347,-0.03862725227238618,-0.9155457609667395,-0.08310323220636814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
COMP,1.0,-0.0758494336733995,0.9059690243559049,-1.320250837478744,1.1493173324798942,0.32421226493261457,-0.46285450050043264,-0.7016852054199877,-0.33152426690671344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
COO,1.0,-0.22340681310210775,0.5205751848818664,0.457408721835264,0.7774727639432989,1.2344163588701547,-0.15468195541034477,-0.328814035880286,0.05881334747903649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COP,1.0,-0.0815498862699155,-0.7433095422467102,0.3479385963533523,-0.9260951567498672,0.4750705331637173,0.13015343688361192,0.6142840018872089,0.3145677111980612,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COR,1.0,-0.22282458185771145,-0.14163781189147098,0.4457728787442979,-0.269014966344801,-0.9522804147693801,-0.2502348726494795,-0.501959956605095,0.03344624954173379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CORZ,1.0,0.07828727694662427,2.1936454480404963,-1.3312229383935257,1.4431922710673784,0.0,-0.8610059458525636,-0.4359644269902087,-0.8685009236639935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
COST,1.0,-0.2706038936975537,0.31492318291536087,1.0152871418409009,-1.5971522070449915,-0.8311727878834887,0.37483955990743506,0.5646950586815828,-0.03194965121153519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPAY,1.0,-0.14181704950919063,-0.29455107377160583,0.25326573874681857,0.31687186044225696,-0.6202418400407932,-0.08923060562292706,-0.43381258063891576,0.20348146643554083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CPRT,1.0,-0.6109084902050925,-0.9805752737791157,0.5817912222143472,0.2195513951634886,0.0,0.933588234616272,0.8829178513788201,0.3217843570968728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CPT,1.0,-0.2584919663312448,0.6523894316657957,0.8443865548371368,0.9515498930641526,0.26508874730142173,-0.06633498644590113,-0.09545141818076884,0.1567722896551346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CRBG,1.0,-0.34123479717038996,-0.15896021802327634,0.47148890494827894,0.7362901504923374,1.754363298843949,-0.4117840216978962,-0.9104563982933568,-0.5328683452122488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CRH,1.0,-0.40706843708832213,0.27088297202006606,0.6829046497342149,-0.27991997670171176,0.366699519628368,0.12859679057144058,-0.010042112586629006,0.42290123806014185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRL,1.0,0.061882348474285406,-1.9596546860457726,0.009378401371084606,0.772890571582233,-0.3319724087501684,-0.5638316133859846,0.008365497420051817,-0.3672163981660072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CRM,1.0,-0.5071139768758601,-3.0,-0.675035372533281,-1.1248756097353152,-0.43195451443358324,0.1612725393718614,0.3920628834417138,0.14596627616706828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CROX,1.0,0.09789200408186649,0.7843409114168722,0.39376527293267044,1.3758456728360493,-0.19939921627992083,-0.5594768364683759,0.6515238914401549,-0.407431349797345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRS,1.0,0.6618786921155061,0.997218590741943,-0.3430929771051984,0.39819719439489704,-0.774674161931892,0.7434588967823476,0.5976201131211949,0.002781399012713119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CRWD,1.0,0.3694341646041091,-1.6903155086198112,-1.1267488185973604,-1.20100203590489,-1.0622968455953286,-0.5168496990063349,0.36524244317976606,-0.2570719478522417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
